CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment,Weighted_RFM,Cluster,Decay_Monetary,Action
12346.0,326,1,77183.6,1,1,4,114,Hibernating,1.9,2,236.03547400611623,Reactivation or cost control
12347.0,2,7,4310.0,4,4,4,444,Champions,4.0,0,1436.6666666666667,"Reward loyalty, exclusive offers"
12348.0,75,4,1797.24,2,3,4,234,At Risk,2.9,0,23.647894736842105,Win-back campaigns
12349.0,19,1,1757.55,3,1,4,314,Potential Loyalists,2.7,0,87.8775,Targeted promotions
12350.0,310,1,334.4,1,1,2,112,Hibernating,1.2999999999999998,1,1.07524115755627,Reactivation or cost control
12352.0,36,8,2506.04,3,4,4,344,Hibernating,3.6000000000000005,0,67.73081081081081,Reactivation or cost control
12353.0,204,1,89.0,1,1,1,111,Hibernating,1.0,3,0.43414634146341463,Reactivation or cost control
12354.0,232,1,1079.4,1,1,3,113,Hibernating,1.5999999999999999,1,4.632618025751073,Reactivation or cost control
12355.0,214,1,459.4,1,1,2,112,Hibernating,1.2999999999999998,1,2.1367441860465117,Reactivation or cost control
12356.0,23,3,2811.43,3,3,4,334,Hibernating,3.3,0,117.14291666666666,Reactivation or cost control
12357.0,33,1,6207.67,3,1,4,314,Potential Loyalists,2.7,0,182.57852941176472,Targeted promotions
12358.0,2,2,1168.06,4,2,3,423,Potential Loyalists,3.1,0,389.3533333333333,Targeted promotions
12359.0,58,4,6372.58,2,3,4,234,At Risk,2.9,0,108.00983050847458,Win-back campaigns
12360.0,52,3,2662.06,2,3,4,234,At Risk,2.9,0,50.22754716981132,Win-back campaigns
12361.0,287,1,189.9,1,1,1,111,Hibernating,1.0,1,0.659375,Reactivation or cost control
12362.0,3,10,5226.23,4,4,4,444,Champions,4.0,0,1306.5575,"Reward loyalty, exclusive offers"
12363.0,110,2,552.0,2,2,2,222,Hibernating,2.0,3,4.972972972972973,Reactivation or cost control
12364.0,8,4,1313.1,4,3,3,433,Loyal Customers,3.4,0,145.89999999999998,Upsell & cross-sell
12365.0,291,2,641.38,1,2,2,122,Hibernating,1.6,1,2.1965068493150683,Reactivation or cost control
12367.0,4,1,168.9,4,1,1,411,Potential Loyalists,2.2,0,33.78,Targeted promotions
12370.0,51,4,3545.69,3,3,4,334,Hibernating,3.3,0,68.18634615384616,Reactivation or cost control
12371.0,45,2,1887.96,3,2,4,324,Potential Loyalists,3.0,0,41.04260869565218,Targeted promotions
12372.0,72,3,1298.04,2,3,3,233,At Risk,2.5999999999999996,0,17.781369863013698,Win-back campaigns
12373.0,311,1,364.6,1,1,2,112,Hibernating,1.2999999999999998,1,1.1685897435897437,Reactivation or cost control
12374.0,25,1,742.9300000000001,3,1,3,313,Potential Loyalists,2.4000000000000004,0,28.574230769230773,Targeted promotions
12375.0,11,2,457.5,4,2,2,422,Potential Loyalists,2.8000000000000003,0,38.125,Targeted promotions
12377.0,315,2,1628.12,1,2,3,123,Hibernating,1.9,1,5.152278481012658,Reactivation or cost control
12378.0,130,1,4008.62,2,1,4,214,Hibernating,2.3,3,30.600152671755723,Reactivation or cost control
12379.0,82,2,852.24,2,2,3,223,Hibernating,2.3,3,10.267951807228917,Reactivation or cost control
12380.0,22,4,2724.81,3,3,4,334,Hibernating,3.3,0,118.47,Reactivation or cost control
12381.0,5,5,1845.31,4,3,4,434,Loyal Customers,3.7,0,307.5516666666667,Upsell & cross-sell
12383.0,185,5,1850.56,1,3,4,134,At Risk,2.5,3,9.949247311827957,Win-back campaigns
12384.0,29,2,585.27,3,2,2,322,Potential Loyalists,2.4000000000000004,0,19.509,Targeted promotions
12386.0,338,2,401.9,1,2,2,122,Hibernating,1.6,1,1.1855457227138642,Reactivation or cost control
12388.0,16,6,2780.66,4,4,4,444,Champions,4.0,0,163.56823529411764,"Reward loyalty, exclusive offers"
12390.0,80,1,549.84,2,1,2,212,Hibernating,1.7000000000000002,3,6.7881481481481485,Reactivation or cost control
12391.0,22,1,460.89,3,1,2,312,Potential Loyalists,2.1,0,20.038695652173914,Targeted promotions
12393.0,72,4,1582.6000000000001,2,3,3,233,At Risk,2.5999999999999996,0,21.679452054794524,Win-back campaigns
12394.0,64,2,1272.48,2,2,3,223,Hibernating,2.3,0,19.576615384615383,Reactivation or cost control
12395.0,19,12,3018.63,3,4,4,344,Hibernating,3.6000000000000005,0,150.9315,Reactivation or cost control
